,province,time,temperature,humidity,rain5
0,Ranong,2021-04-04T16:00:00+07:00,28.42,78.73,0.0
1,Ranong,2021-04-04T16:00:00+07:00,28.42,78.73,0.0
2,Ranong,2021-04-04T16:00:00+07:00,28.42,78.73,0.0
3,Ranong,2021-04-04T16:00:00+07:00,28.42,78.73,0.0
4,Ranong,2021-04-04T16:00:00+07:00,28.42,78.73,0.0
5,Ranong,2021-04-04T16:00:00+07:00,28.42,78.73,0.0
6,Ranong,2021-04-04T16:00:00+07:00,28.42,78.73,0.0
7,Ranong,2021-04-04T17:00:00+07:00,29.03,76.83,0.0
8,Ranong,2021-04-04T18:00:00+07:00,29.09,79.24,0.0
9,Ranong,2021-04-04T19:00:00+07:00,29.23,76.64,0.0
10,Ranong,2021-04-04T20:00:00+07:00,28.65,79.24,0.0
11,Ranong,2021-04-04T21:00:00+07:00,27.28,88.57,0.5
12,Ranong,2021-04-04T22:00:00+07:00,27.26,89.06,4.3
13,Ranong,2021-04-04T23:00:00+07:00,27.46,88.5,0.9
14,Ranong,2021-04-05T00:00:00+07:00,27.22,91.17,1.1
15,Ranong,2021-04-05T01:00:00+07:00,27.16,81.12,0.0
16,Ranong,2021-04-05T02:00:00+07:00,27.24,80.26,0.0
17,Ranong,2021-04-05T03:00:00+07:00,27.11,80.47,0.0
18,Ranong,2021-04-05T04:00:00+07:00,26.91,78.56,0.0
19,Ranong,2021-04-05T05:00:00+07:00,26.79,78.46,0.0
20,Ranong,2021-04-05T06:00:00+07:00,27.09,77.74,0.0
21,Ranong,2021-04-05T07:00:00+07:00,27.08,75.78,0.0
22,Ranong,2021-04-05T08:00:00+07:00,27.8,74.08,0.0
23,Ranong,2021-04-05T09:00:00+07:00,28.3,73.05,0.0
24,Ranong,2021-04-05T10:00:00+07:00,28.21,75.82,0.0
25,Ranong,2021-04-05T11:00:00+07:00,27.99,79.7,0.0
26,Ranong,2021-04-05T12:00:00+07:00,28.14,80.35,0.0
27,Ranong,2021-04-05T13:00:00+07:00,28.34,80.22,0.0
28,Ranong,2021-04-05T14:00:00+07:00,28.26,83.36,0.0
29,Ranong,2021-04-05T15:00:00+07:00,28.3,82.67,0.0
30,Ranong,2021-04-05T16:00:00+07:00,28.5,79.14,0.0
31,Ranong,2021-04-05T17:00:00+07:00,28.68,76.15,0.0
